title,isbn,isbn13,genre,pages
"awakened (house of night, #8)",312650248,9780312650250.0,Juvenil (Young Adult - YA),306
awakening the buddha within: tibetan wisdom for the western world,767901576,9780767901570.0,Religión y espiritualidad,432
"away laughing on a fast camel (confessions of georgia nicolson, #5)",60589353,9780060589360.0,Juvenil (Young Adult - YA),352
"axel (corps security, #1)",,,Romance,288
ayat-ayat cinta,9832672368,,Romance,418
azincourt,7271212,9780007271210.0,Ficción histórica,458
"aztec (aztec, #1)",765317508,9780765317510.0,Ficción histórica,754
"b is for burglar  (kinsey millhone, #2)",312939000,9780312939010.0,Thriller/Misterio,272
babar the king,1405204664,9781405204670.0,Literatura infantil,48
babbitt,142640607X,9781426406070.0,Literatura clásica,296
babe: the gallant pig,375829709,9780375829700.0,Literatura infantil,91
baby proof,312348649,9780312348650.0,Romance,304
"babylon's ashes (the expanse, #6)",356504263,9780356504260.0,Ciencia ficción,544
babyville,767912241,9780767912240.0,Romance,400
back roads,451212452,9780451212450.0,Thriller/Misterio,292
back spin (myron bolitar #4),440222702,9780440222700.0,Thriller/Misterio,336
back when we were grownups,345477243,9780345477250.0,Desconocido,320
"back on blossom street (blossom street, #4)",778324516,9780778324520.0,Romance,464
"backstage pass (sinners on tour, #1)",1402244428,9781402244420.0,Romance,336
"bad blood (virgil flowers, #4)",399156909,9780399156910.0,Thriller/Misterio,416
bad feminist,62282719,9780062282710.0,Ensayo,320
"bad girls don't die (bad girls don't die, #1)",1423108760,9781423108760.0,Juvenil (Young Adult - YA),278
bad kitty,1596430699,9781596430690.0,Literatura infantil,128
"bad luck and trouble (jack reacher, #11)",385340559,9780385340560.0,Thriller/Misterio,416
bad monkey,307272591,9780307272590.0,Thriller/Misterio,318
bad moon rising (dark-hunter #18; were-hunter #4; hellchaser #2),749909226,9780749909220.0,Fantasía,356
"bad rep (bad rep, #1)",,,Romance,382
"bad romeo (starcrossed, #1)",,,Romance,358
bad science,7240198,9780007240200.0,Ciencia,370
"bad things (tristan & danika, #1)",,,Romance,528
"bad for you (sea breeze, #7)",1481420763,9781481420760.0,Romance,256
bag of bones,067102423X,9780671024240.0,Horror,733
bagombo snuff box,99282968,9780099282970.0,Literatura clásica,288
baking: from my home to yours,618443363,9780618443370.0,Cocina y gastronomía,480
"bakuman, band 1: traum und realität",3867197571,9783867197570.0,Juvenil (Young Adult - YA),200
ball four,20306652,9780020306660.0,Deportes,415
"ballet shoes (shoes, #1)",679847596,9780679847600.0,Literatura infantil,294
baltasar and blimunda,156005204,9780156005200.0,Ficción histórica,346
balzac and the little chinese seamstress,385722206,9780385722210.0,Ficción histórica,184
bambi,067166607X,9780671666070.0,Literatura infantil,192
"band of brothers: e company, 506th regiment, 101st airborne from normandy to hitler's eagle's nest",743464117,9780743464120.0,Historia,336
barbarians at the gate: the fall of rjr nabisco,60536357,9780060536350.0,Negocios y economía,592
"bare bones (temperance brennan, #6)",074345300X,9780743453000.0,Thriller/Misterio,407
"bared to you (crossfire, #1)",425263908,9780425263910.0,Romance,352
barefoot,316018589,9780316018590.0,Romance,400
barefoot contessa back to basics,1400054354,9781400054350.0,Cocina y gastronomía,256
barefoot contessa family style: easy ideas and recipes that make everyone feel like family,060961066X,9780609610660.0,Cocina y gastronomía,224
barefoot contessa at home: everyday recipes you'll make over and over again,1400054346,9781400054340.0,Cocina y gastronomía,256
barefoot in paris,1400049350,9781400049360.0,Cocina y gastronomía,240
"barely breathing (breathing, #2)",1452440026,9781452440030.0,Juvenil (Young Adult - YA),424
barnyard dance,1563054426,9781563054430.0,Literatura infantil,24
"barrayar (vorkosigan saga, #7)",743468414,9780743468410.0,Ciencia ficción,336
barrel fever: stories and essays,316779423,9780316779420.0,Ensayo,194
bartleby the scrivener,974607800,9780974607800.0,Literatura clásica,64
basket case,446695645,9780446695640.0,Thriller/Misterio,336
bastard out of carolina,452287057,9780452287050.0,Literatura clásica,309
batman & robin: batman reborn,1401225667,9781401225670.0,Aventuras,160
batman and son,1401212409,9781401212410.0,Aventuras,208
"batman, volume 1: the court of owls",1401235417,9781401235410.0,Aventuras,176
"batman, volume 2: the city of owls",1401237770,9781401237780.0,Aventuras,208
"batman, volume 3: death of the family",1401242340,9781401242340.0,Aventuras,176
batman: a death in the family,930289447,9780930289450.0,Aventuras,144
batman: arkham asylum - a serious house on serious earth,1401204252,9781401204260.0,Aventuras,216
batman: dark victory,1563898683,9781563898690.0,Aventuras,392
"batman: earth one, volume 1",1401232086,9781401232080.0,Aventuras,144
batman: hush,1401223176,9781401223180.0,Aventuras,320
"batman: hush, vol. 1",1401200605,9781401200600.0,Aventuras,160
"batman: hush, vol. 2",1401200923,9781401200920.0,Aventuras,160
"batman: knightfall, vol. 1: broken bat",1563891425,9781563891430.0,Aventuras,272
"batman: no man's land, vol. 1",1563895641,9781563895650.0,Aventuras,256
batman: the black mirror,140123206X,9781401232060.0,Aventuras,304
batman: the dark knight returns #1,,,Aventuras,48
"batman: the dark knight returns (the dark knight saga, #1)",156389341X,9781563893410.0,Aventuras,224
"batman: the dark knight strikes again (the dark knight saga, #2)",1563899299,9781563899290.0,Aventuras,256
batman: the killing joke,930289455,9780930289450.0,Aventuras,48
batman: the long halloween,1563894696,9781563894700.0,Aventuras,372
batman: the man who laughs,1401216226,9781401216220.0,Aventuras,144
batman: whatever happened to the caped crusader?,1401223036,9781401223040.0,Aventuras,128
batman: year one,1401207529,9781401207530.0,Aventuras,144
battle cry of freedom,019516895X,9780195168950.0,Historia,904
battle hymn of the tiger mother,1594202842,9781594202840.0,Biografía/Autobiografía,236
battle royale,156931778X,9781569317780.0,Thriller/Misterio,617
battlefield earth: a saga of the year 3000,,,Ciencia ficción,1050
battlefield of the mind: winning the battle in your mind,446691097,9780446691090.0,Religión y espiritualidad,261
batwoman: elegy,1401226922,9781401226920.0,Aventuras,192
baudolino,156029065,9780156029060.0,Ficción histórica,522
"bay of sighs (the guardians trilogy, #2)",042528011X,9780425280120.0,Fantasía,432
"bayou moon (the edge, #2)",441019455,9780441019460.0,Fantasía,322
be careful what you wish for,340841125,9780340841130.0,Thriller/Misterio,464
"be careful what you wish for (the clifton chronicles, #4)",1250034485,9781250034490.0,Ficción histórica,400
be frank with me,62413716,9780062413710.0,Desconocido,304
be here now,517543052,9780517543050.0,Religión y espiritualidad,416
"be with me (wait for you, #2)",,,Romance,419
beach music,553381539,9780553381540.0,Desconocido,628
beach road,316159786,9780316159780.0,Thriller/Misterio,384
beach town,1250065933,9781250065930.0,Romance,352
beachcombers,345518284,9780345518290.0,Romance,336
beaches,60594772,9780060594770.0,Romance,304
"beacon 23: the complete novel (beacon 23, #1-5)",1516865871,9781516865870.0,Ciencia ficción,240
bear snores on,689831870,9780689831870.0,Literatura infantil,40
"bearing an hourglass (incarnations of immortality, #2)",345313151,9780345313160.0,Fantasía,310
"beast master, vol. 1 (beast master, #1)",1421532018,9781421532010.0,Juvenil (Young Adult - YA),184
"beastly (beastly, #1; kendra chronicles, #1)",60874163,9780060874160.0,Juvenil (Young Adult - YA),304
beat the reaper (peter brown #1),316032220,9780316032220.0,Thriller/Misterio,324
beatrice and virgil,1400069262,9781400069260.0,Desconocido,212
"beautiful bastard (beautiful bastard, #1)",1476730105,9781476730100.0,Romance,305
"beautiful beginning (beautiful bastard, #3.5)",,,Romance,112
"beautiful bitch (beautiful bastard, #1.5)",,,Romance,80
"beautiful bombshell (beautiful bastard, #2.5)",,,Romance,112
beautiful boy: a father's journey through his son's addiction,618683356,9780618683350.0,Biografía/Autobiografía,340
"beautiful broken rules (broken, #1)",,,Romance,336
"beautiful burn (the maddox brothers, #4)",,,Romance,360
"beautiful chaos (caster chronicles, #3)",316123528,9780316123520.0,Fantasía,517
"beautiful creatures (caster chronicles, #1)",316042676,9780316042670.0,Fantasía,563
"beautiful darkness (caster chronicles, #2)",316077054,9780316077060.0,Fantasía,503
beautiful day,316099783,9780316099780.0,Romance,432
"beautiful disaster (beautiful, #1)",,,Romance,418
"beautiful oblivion (the maddox brothers, #1)",,,Romance,384
"beautiful player (beautiful bastard, #3)",,,Romance,416
"beautiful redemption (caster chronicles, #4)",316123536,9780316123530.0,Fantasía,549
"beautiful redemption (the maddox brothers, #2)",1502541858,9781502541860.0,Romance,368
beautiful ruins,61928127,9780061928120.0,Ficción histórica,337
"beautiful sacrifice (the maddox brothers, #3)",,,Romance,352
"beautiful secret (beautiful bastard, #4)",1476778019,9781476778010.0,Romance,336
"beautiful stranger (beautiful bastard, #2)",1476731535,9781476731540.0,Romance,336
beautiful you,385538030,9780385538040.0,Desconocido,260
"beautifully damaged (beautifully damaged, #1)",,,Romance,348
"beauty pop, vol. 1 (beauty pop, #1)",1421505754,9781421505760.0,Juvenil (Young Adult - YA),184
beauty queens,439895979,9780439895970.0,Juvenil (Young Adult - YA),391
beauty and the beast,786834277,9780786834270.0,Literatura infantil,96
beauty and the beast (disney),736421971,9780736421970.0,Literatura infantil,24
"beauty from pain (beauty, #1)",148234873X,9781482348740.0,Romance,326
"beauty from surrender (beauty, #2)",,,Romance,324
"beauty's punishment (sleeping beauty, #2)",452281431,9780452281430.0,Romance,256
"beauty's release (sleeping beauty, #3)",452281458,9780452281460.0,Romance,240
beauty: a retelling of the story of beauty and the beast,64404773,9780064404780.0,Fantasía,238
"because i'm worth it (gossip girl, #4)",316909688,9780316909690.0,Juvenil (Young Adult - YA),224
"because of low (sea breeze, #2)",,,Romance,240
because of mr. terupt,038573882X,9780385738830.0,Literatura infantil,272
because of winn-dixie,763616052,9780763616050.0,Literatura infantil,182
become a better you: 7 keys to improving your life every day,743296885,9780743296880.0,Desarrollo personal,352
"bed of roses (bride quartet, #2)",425230074,9780425230080.0,Romance,352
bedtime for frances,64434516,9780064434520.0,Literatura infantil,32
bee season,385498802,9780385498810.0,Desconocido,274
"beezus and ramona (ramona, #1)",192750968,9780192750970.0,Literatura infantil,192
before i die,385613466,9780385613460.0,Juvenil (Young Adult - YA),326
before i fall,61726818,9780061726810.0,Juvenil (Young Adult - YA),470
before i go,1476761663,9781476761660.0,Romance,352
before i go to sleep,62060554,9780062060560.0,Thriller/Misterio,368
"before jamaica lane (on dublin street, #3)",,,Romance,432
before they are hanged (the first law #2),575077883,9780575077880.0,Fantasía,535
before we met,1620402750,9781620402760.0,Thriller/Misterio,336
before the fall,1455561789,9781455561780.0,Thriller/Misterio,400
"behemoth (leviathan, #2)",1416971750,9781416971760.0,Ciencia ficción,487
behind closed doors,1250121000,9781250121000.0,Thriller/Misterio,293
behind her eyes,125011117X,9781250111170.0,Thriller/Misterio,307
"behind the beautiful forevers: life, death, and hope in a mumbai undercity",1400067553,9781400067560.0,Historia,256
behind the scenes at the museum,312150601,9780312150600.0,Ficción histórica,337
being mortal: medicine and what matters in the end,805095152,9780805095160.0,Salud y bienestar,282
"being nikki (airhead, #2)",545040566,9780545040560.0,Juvenil (Young Adult - YA),296
"being a green mother (incarnations of immortality, #5)",345322231,9780345322230.0,Fantasía,343
being and nothingness,415278481,9780415278480.0,Filosofía,811
being and time,60638508,9780060638500.0,Filosofía,589
bel canto,60838728,9780060838720.0,Desconocido,318
bel-ami,140443150,9780140443160.0,Literatura clásica,400
belgarath the sorcerer,345403959,9780345403960.0,Fantasía,734
believing christ: the parable of the bicycle and other good news,1570089264,9781570089270.0,Religión y espiritualidad,160
belinda,425176657,9780425176660.0,Ficción histórica,512
bella tuscany,076790284X,9780767902850.0,Viajes y guías,288
belly laughs: the naked truth about pregnancy and childbirth,738210072,9780738210070.0,Salud y bienestar,240
belong to me,61240273,9780061240270.0,Romance,400
beloved,1400033411,9781400033420.0,Literatura clásica,324
belzhar,525423052,9780525423060.0,Juvenil (Young Adult - YA),265
ben-hur: a tale of the christ,1934648205,9781934648210.0,Literatura clásica,560
"beneath this man (this man, #2)",,,Romance,548
beneath a marble sky,451218469,9780451218470.0,Ficción histórica,368
"benediction (plainsong, #3)",307959880,9780307959880.0,Desconocido,276
benjamin franklin: an american life,074325807X,9780743258070.0,Biografía/Autobiografía,600
beowulf,393320979,9780393320980.0,Poesía,213
bergdorf blondes,1401359604,9781401359610.0,Romance,272
"berserk, vol. 1 (berserk, #1)",1593070209,9781593070200.0,Fantasía,228
best friends forever,743294297,9780743294290.0,Romance,354
"best friends for never (the clique, #2)",316701319,9780316701310.0,Juvenil (Young Adult - YA),224
"best kept secret (the clifton chronicles, #3)",125000098X,9781250000990.0,Ficción histórica,384
best served cold,575082453,9780575082460.0,Fantasía,704
bet me,312987854,9780312987860.0,Romance,356
"betrayal in death (in death, #12)",425178579,9780425178580.0,Thriller/Misterio,352
"betrayals (strange angels, #2)",1595142525,9781595142530.0,Juvenil (Young Adult - YA),336
"betrayed (house of night, #2)",312360282,9780312360280.0,Juvenil (Young Adult - YA),310
"betsy-tacy (betsy-tacy, #1)",64400964,9780064400960.0,Literatura infantil,134
better homes and gardens new cook book,696215322,9780696215320.0,Cocina y gastronomía,640
better than before: mastering the habits of our everyday lives,385348614,9780385348610.0,Desarrollo personal,320
better off friends,,,Juvenil (Young Adult - YA),304
better than life (red dwarf #2),451452313,9780451452310.0,Ciencia ficción,308
better: a surgeon's notes on performance,805082115,9780805082110.0,Medicina,273
betty crocker's cookbook,307098222,9780307098220.0,Cocina y gastronomía,552
between shades of gray,399254129,9780399254120.0,Ficción histórica,344
between sisters,345450744,9780345450750.0,Romance,368
between a rock and a hard place,074349282X,9780743492830.0,Biografía/Autobiografía,354
"between the lines (between the lines, #1)",1451635753,9781451635750.0,Juvenil (Young Adult - YA),355
between the world and me,812993543,9780812993550.0,Ensayo,176
"between, georgia",446699454,9780446699460.0,Desconocido,320
beyond band of brothers: the war memoirs of major dick winters,425208133,9780425208140.0,Biografía/Autobiografía,304
beyond belief: my secret life inside scientology and my harrowing escape,62248472,9780062248470.0,Biografía/Autobiografía,372
"beyond exile (day by day armageddon,# 2)",143917752X,9781439177520.0,Horror,368
beyond good and evil,014044923X,9780140449240.0,Filosofía,240
"beyond reach (grant county, #6)",038533947X,9780385339480.0,Thriller/Misterio,384
beyond the grave (the 39 clues #4),545060443,9780545060450.0,Aventuras,190
"beyond the highland mist (highlander, #1)",440244161,9780440244160.0,Romance,356
"beyond the shadows (night angel, #3)",316033669,9780316033660.0,Fantasía,689
big bang: the origin of the universe,7162219,9780007162220.0,Ciencia,552
"big boned (heather wells, #3)",60525134,9780060525130.0,Thriller/Misterio,292
big brother,61458570,9780061458580.0,Desconocido,357
"big cherry holler (big stone gap, #2)",743430344,9780743430340.0,Desconocido,288
big fish,743484258,9780743484250.0,Fantasía,180
big girl panties,62224859,9780062224860.0,Romance,384
big little lies,399167064,9780399167060.0,Thriller/Misterio,460
big magic: creative living beyond fear,1594634718,9781594634710.0,Desarrollo personal,276
"big nate strikes again (big nate novels, #2)",006194436X,9780061944370.0,Literatura infantil,224
"big nate on a roll (big nate novels, #3)",61944394,9780061944390.0,Literatura infantil,224
"big nate: in a class by himself (big nate novels, #1)",61944343,9780061944340.0,Literatura infantil,224
"big red (big red, #1)",553154346,9780553154340.0,Literatura infantil,256
big rock,692572031,9780692572030.0,Romance,308
"big stone gap (big stone gap, #1)",345459202,9780345459210.0,Desconocido,273
big sur,140168125,9780140168130.0,Literatura clásica,214
big trouble,425178102,9780425178100.0,Thriller/Misterio,320
billions & billions: thoughts on life and death at the brink of the millennium,345379187,9780345379180.0,Ciencia,320
"billy budd, sailor",1416523723,9781416523730.0,Literatura clásica,112
billy lynn's long halftime walk,60885599,9780060885600.0,Ficción histórica,307
binge,,,Biografía/Autobiografía,256
bird box,62259652,9780062259650.0,Horror,262
bird by bird: some instructions on writing and life,385480016,9780385480020.0,Desarrollo personal,239
"birdman (jack caffery, #1)",440236169,9780440236160.0,Thriller/Misterio,512
birds of america,312241224,9780312241220.0,Literatura clásica,291
"birds of a feather (maisie dobbs, #2)",143035304,9780143035300.0,Thriller/Misterio,321
birdsong,679776818,9780679776820.0,Ficción histórica,483
"birthmarked (birthmarked, #1)",1596435690,9781596435700.0,Juvenil (Young Adult - YA),360
birthright,515137111,9780515137120.0,Romance,484
"bite club (the morganville vampires, #10)",451233182,9780451233190.0,Juvenil (Young Adult - YA),352
"bite me (a love story, #3)",61779725,9780061779720.0,Fantasía,308
bite me if you can (argeneau #6),60774126,9780060774130.0,Romance,384
"bitten (women of the otherworld, #1)",452286034,9780452286030.0,Fantasía,436
"bitter is the new black: confessions of a condescending, egomaniacal, self-centered smartass, or, why you should never carry a prada bag to the unemployment office",451217608,9780451217610.0,Biografía/Autobiografía,416
"bitterblue (graceling realm, #3)",803734735,9780803734740.0,Fantasía,563
bittersweet,804138567,9780804138570.0,Desconocido,384
black beauty,439228905,9780439228910.0,Literatura infantil,245
"black bird, vol. 01 (black bird, #1)",1421527642,9781421527640.0,Fantasía,200
black boy,60929782,9780060929790.0,Biografía/Autobiografía,421
"black butler, vol. 1 (black butler, #1)",316080845,9780316080840.0,Fantasía,192
"black butler, vol. 2 (black butler, #2)",316084255,9780316084250.0,Fantasía,192
"black butler, vol. 3 (black butler, #3)",,9789792760870.0,Fantasía,192
"black cat, volume 01",142150605X,9781421506050.0,Fantasía,200
"black cherry blues (dave robicheaux, #3)",380712040,9780380712040.0,Thriller/Misterio,416
"black dawn (the morganville vampires, #12)",451236718,9780451236720.0,Juvenil (Young Adult - YA),352
black elk speaks: being the life story of a holy man of the oglala sioux,803283857,9780803283860.0,Biografía/Autobiografía,238
black hawk down,871137380,9780871137390.0,Historia,386
black hills,399155813,9780399155820.0,Romance,464
black hole,037542380X,9780375423800.0,Arte y fotografía,368
black holes and baby universes,553374117,9780553374120.0,Ciencia,182
"black house (the talisman, #2)",034547063X,9780345470640.0,Fantasía,625
black ice,1442474289,9781442474280.0,Juvenil (Young Adult - YA),400
black lies,,,Thriller/Misterio,390
black like me,451208641,9780451208640.0,Biografía/Autobiografía,208
"black list (scot harvath, #11)",1439192987,9781439192990.0,Thriller/Misterio,368
"black magic sanction (the hollows, #8)",61138037,9780061138030.0,Fantasía,496
"black notice (kay scarpetta, #10)",425175405,9780425175410.0,Thriller/Misterio,464
"black order (sigma force, #3)",752876457,9780752876450.0,Thriller/Misterio,560
"black powder war (temeraire, #3)",345481305,9780345481310.0,Fantasía,416
"black rose (in the garden, #2)",739453823,9780739453830.0,Romance,352
"black sun rising (the coldfire trilogy, #1)",756403146,9780756403140.0,Fantasía,440
black swan green,812974018,9780812974010.0,Juvenil (Young Adult - YA),291
"black water (pendragon, #5)",689869118,9780689869110.0,Fantasía,464
black and blue,385333137,9780385333140.0,Thriller/Misterio,356
black-eyed susans,804177996,9780804177990.0,Thriller/Misterio,339
"black: the birth of evil (the circle, #1)",1595540210,9781595540220.0,Fantasía,400
blackberry wine,380815923,9780380815920.0,Fantasía,308
blackberry winter,452298385,9780452298380.0,Ficción histórica,323
blackmoore,1609074602,9781609074610.0,Romance,373
"blackout (all clear, #1)",553803190,9780553803200.0,Ciencia ficción,491
"blackout (newsflesh trilogy, #3)",1841499005,9781841499000.0,Horror,518
blackout: remembering the things i drank to forget,1455554596,9781455554590.0,Biografía/Autobiografía,304
"blackwood farm (the vampire chronicles, #9)",99446723,9780099446730.0,Fantasía,552
"blameless (parasol protectorate, #3)",316074152,9780316074160.0,Fantasía,358
blankets,1891830430,9781891830430.0,Biografía/Autobiografía,592
blaze,141655484X,9781416554840.0,Thriller/Misterio,304
"bleach, volume 01",1591164419,9781591164420.0,Fantasía,192
"bleach, volume 03",1591164435,9781591164430.0,Fantasía,192
"bleach, volume 15",1421506130,9781421506140.0,Fantasía,208
bleachers,99468190,9780099468200.0,Desconocido,176
bleak house,143037617,9780143037610.0,Literatura clásica,1017
"bless me, ultima",446675369,9780446675370.0,Literatura clásica,262
blessings,345468694,9780345468700.0,Desconocido,244
"blind willow, sleeping woman",1400044618,9781400044610.0,Literatura clásica,352
blindness,156007754,9780156007760.0,Ciencia ficción,326
"blindsight (firefall, #1)",765312182,9780765312180.0,Ciencia ficción,384
"blindsighted (grant county, #1)",380820889,9780380820890.0,Thriller/Misterio,384
blink,849945119,9780849945110.0,Religión y espiritualidad,272
blink: the power of thinking without thinking,316010669,9780316010660.0,Psicología,296
blockade billy,1587672286,9781587672290.0,Ficción histórica,112
"blood and gold (the vampire chronicles, #8)",99271494,9780099271500.0,Fantasía,544
"blood bound (mercy thompson, #2)",441014739,9780441014740.0,Fantasía,292
"blood brothers (sign of seven, #1)",515143804,9780515143800.0,Fantasía,352
"blood canticle (the vampire chronicles, #10)",99460173,9780099460180.0,Fantasía,320
"blood cross (jane yellowrock, #2)",451463072,9780451463070.0,Fantasía,336
"blood defense (samantha brinkman, #1)",,,Thriller/Misterio,416
"blood kiss (black dagger legacy, #1)",451475321,9780451475330.0,Fantasía,384
"blood magick (the cousins o'dwyer trilogy, #3)",425259870,9780425259870.0,Fantasía,336
blood memory,743454154,9780743454160.0,Thriller/Misterio,464
"blood meridian, or the evening redness in the west",679728759,9780679728760.0,Literatura clásica,337
"blood noir (anita blake, vampire hunter #16)",425222195,9780425222200.0,Fantasía,356
"blood promise (vampire academy, #4)",1595141987,9781595141990.0,Juvenil (Young Adult - YA),503
"blood red road (dust lands, #1)",1442429984,9781442429990.0,Juvenil (Young Adult - YA),455
"blood rites (the dresden files, #6)",451459873,9780451459880.0,Fantasía,514
"blood rites (the grey wolves, #2)",,,Fantasía,346
"blood song (raven's shadow, #1)",,,Fantasía,591
"blood work (harry bosch universe, #8; terry mccaleb #1)",446690449,9780446690450.0,Thriller/Misterio,320
blood and chocolate,440226686,9780440226680.0,Juvenil (Young Adult - YA),264
"blood of dragons (rain wild chronicles, #4)",62116851,9780062116860.0,Fantasía,352
"blood of the fold (sword of truth, #3)",812551478,9780812551470.0,Fantasía,560
"blood on snow (blood on snow, #1)",385354193,9780385354200.0,Thriller/Misterio,224
"blood, bones, and butter: the inadvertent education of a reluctant chef",140006872X,9781400068720.0,Biografía/Autobiografía,304
"bloodfever (fever, #2)",038533916X,9780385339160.0,Fantasía,307
"bloodhound (beka cooper, #2)",375814698,9780375814690.0,Fantasía,560
bloodline,1568650949,9781568650940.0,Thriller/Misterio,384
"bloodline (sigma force, #8)",61784796,9780061784800.0,Thriller/Misterio,466
"bloodlines (bloodlines, #1)",1595143173,9781595143170.0,Juvenil (Young Adult - YA),421
"bloodlust (the vampire diaries: stefan's diaries, #2)",62003941,9780062003940.0,Juvenil (Young Adult - YA),256
bloodrose (nightshade #3; nightshade world #6),399256121,9780399256130.0,Juvenil (Young Adult - YA),389
"bloodsucking fiends (a love story, #1)",60735414,9780060735420.0,Fantasía,304
"bloody bones (anita blake, vampire hunter #5)",425205673,9780425205680.0,Fantasía,368
"bloody jack (bloody jack, #1)",015205085X,9780152050860.0,Aventuras,304
"bloody valentine (blue bloods, #5.5)",1423134494,9781423134500.0,Juvenil (Young Adult - YA),176
"blow fly (kay scarpetta, #12)",425198731,9780425198740.0,Thriller/Misterio,468
"blowback (scot harvath, #4)",1416505415,9781416505420.0,Thriller/Misterio,336
blubber,330398059,9780330398050.0,Juvenil (Young Adult - YA),153
"blue bloods (blue bloods, #1)",786838922,9780786838930.0,Juvenil (Young Adult - YA),307
"blue dahlia (in the garden, #1)",749935332,9780749935340.0,Romance,352
"blue exorcist, vol. 1  (blue exorcist, #1)",1421540320,9781421540320.0,Fantasía,200
blue highways,316353299,9780316353300.0,Viajes y guías,421
"blue labyrinth (pendergast, #14)",1455525898,9781455525900.0,Thriller/Misterio,496
blue like jazz: nonreligious thoughts on christian spirituality,785263705,9780785263710.0,Religión y espiritualidad,244
"blue lily, lily blue (the raven cycle, #3)",545424968,9780545424970.0,Juvenil (Young Adult - YA),391
"blue mars (mars trilogy, #3)",553573357,9780553573350.0,Ciencia ficción,766
"blue monday (frieda klein, #1)",718154959,9780718154950.0,Thriller/Misterio,400
"blue moon (anita blake, vampire hunter, #8)",515134457,9780515134450.0,Fantasía,560
"blue moon (the immortals, #2)",312532768,9780312532760.0,Juvenil (Young Adult - YA),304
blue nights,307267679,9780307267670.0,Biografía/Autobiografía,188
"blue noon (midnighters, #3)",60519592,9780060519600.0,Juvenil (Young Adult - YA),352
blue ocean strategy: how to create uncontested market space and make the competition irrelevant,1591396190,9781591396190.0,Negocios y economía,240
"blue shoes and happiness (no. 1 ladies' detective agency, #7)",1400075718,9781400075710.0,Thriller/Misterio,231
blue smoke,515141399,9780515141400.0,Romance,464
"blue exorcist, tome 2",2849659266,9782849659270.0,Fantasía,192
"blue is for nightmares (blue is for nightmares, #1)",738703915,9780738703920.0,Juvenil (Young Adult - YA),224
"blue-eyed devil (travises, #2)",031235164X,9780312351650.0,Romance,336
bluebeard,038533351X,9780385333510.0,Literatura clásica,312
blueberries for sal,670175919,9780670175920.0,Literatura infantil,56
"body double (rizzoli & isles, #4)",034545894X,9780345458940.0,Thriller/Misterio,336
"body movers (body movers, #1)",778324826,9780778324830.0,Thriller/Misterio,320
body surfing,316059854,9780316059860.0,Romance,304
"body of evidence (kay scarpetta, #2)",743493915,9780743493920.0,Thriller/Misterio,400
bomb: the race to build—and steal—the world's most dangerous weapon,1596434872,9781596434880.0,Historia,384
"bone crossed (mercy thompson, #4)",1841496863,9781841496860.0,Fantasía,292
bone gap,,,Juvenil (Young Adult - YA),247
"bone: quest for the spark, vol. 1",545141028,9780545141020.0,Fantasía,224
bone: tall tales,054514096X,9780545140970.0,Fantasía,128
bone: the complete edition,188896314X,9781888963140.0,Fantasía,1332
"bones are forever (temperance brennan, #15)",1439102430,9781439102440.0,Thriller/Misterio,336
"bones of the hills (conqueror, #3)",7201788,9780007201780.0,Ficción histórica,512
"bones to ashes (temperance brennan, #10)",743294378,9780743294380.0,Thriller/Misterio,386
"boneshaker (the clockwork century, #1)",765318415,9780765318410.0,Ciencia ficción,416
"bonhoeffer: pastor, martyr, prophet, spy",1595551387,9781595551380.0,Biografía/Autobiografía,608
bonjour tristesse,2266127748,9782266127740.0,Literatura clásica,151
bonk: the curious coupling of science and sex,393064646,9780393064640.0,Ciencia,319
"book of mormon, doctrine and covenants, pearl of great price",1592975038,9781592975040.0,Religión y espiritualidad,792
"book of shadows (sweep, #1)",142409863,9780142409860.0,Juvenil (Young Adult - YA),224
book of a thousand days,1599900513,9781599900510.0,Juvenil (Young Adult - YA),307
"book of the dead (kay scarpetta, #15)",399153934,9780399153940.0,Thriller/Misterio,416
bookrags summary:  a storm of swords,,,Fantasía,N/A
bookends,767907817,9780767907810.0,Romance,354
books of blood: volume one (books of blood #1),425083896,9780425083900.0,Horror,214
books of blood: volumes one to three (books of blood #1-3),425165582,9780425165580.0,Horror,594
boomerang: travels in the new third world,393343448,9780393343440.0,Negocios y economía,224
"born free: a lioness of two worlds (story of elsa, #1)",375714383,9780375714380.0,Biografía/Autobiografía,224
born standing up: a comic's life,1416553649,9781416553650.0,Biografía/Autobiografía,224
born a crime: stories from a south african childhood,385689225,9780385689230.0,Biografía/Autobiografía,289
"born at midnight (shadow falls, #1)",312624670,9780312624680.0,Juvenil (Young Adult - YA),407
"born in death (in death, #23)",425215687,9780425215680.0,Thriller/Misterio,368
"born in fire (born in trilogy, #1)",515114693,9780515114690.0,Romance,352
"born in ice (born in trilogy, #2)",515116750,9780515116760.0,Romance,368
"born in shame (born in trilogy, #3)",051511779X,9780515117790.0,Romance,368
"born of night (the league, #1)",312942303,9780312942300.0,Ciencia ficción,352
born on a blue day: inside the extraordinary mind of an autistic savant,1416535071,9781416535070.0,Biografía/Autobiografía,240
born to run,1501141511,9781501141520.0,Biografía/Autobiografía,510
"born to run: a hidden tribe, superathletes, and the greatest race the world has never seen",307266303,9780307266310.0,Deportes,287
bossman,,,Romance,320
bossypants,,,Biografía/Autobiografía,277
